Timestamp;CPU Usage (%);Mem Usage (MiB);Mem Usage (KiB);Virtual Mem (MiB);Virtual Mem (KiB);Threads;Page Faults
2024-01-16 02:17:06;0;7;7652;1990;2037820;2;4194304
2024-01-16 02:17:07;39.4541;136;139660;268341;274781860;26;1077936128
2024-01-16 02:17:08;26.764;163;167696;268414;274856540;26;1077936128
2024-01-16 02:17:09;0;163;167696;268414;274856540;26;1077936128
2024-01-16 02:17:10;0;163;167696;268414;274856540;26;1077936128
2024-01-16 02:17:11;0;163;167696;268414;274856540;26;1077936128
2024-01-16 02:17:12;0;163;167700;268414;274856540;26;1077936128
2024-01-16 02:17:13;0.238095;163;167720;268414;274856540;26;1077936128
2024-01-16 02:17:14;0;163;167720;268414;274856540;26;1077936128
2024-01-16 02:17:15;0;163;167720;268414;274856540;26;1077936128
2024-01-16 02:17:16;0.245098;163;167764;268414;274856544;26;1077936128
2024-01-16 02:17:17;0;163;167764;268414;274856544;26;1077936128
2024-01-16 02:17:18;0;163;167764;268414;274856544;26;1077936128
2024-01-16 02:17:20;0;163;167764;268414;274856544;26;1077936128
2024-01-16 02:17:21;0;163;167832;268414;274856528;25;1077936128
2024-01-16 02:17:22;0.23753;164;167940;268414;274856548;26;1077936128
2024-01-16 02:17:23;0;164;168176;268414;274856548;26;1077936128
2024-01-16 02:17:24;0;164;168176;268414;274856548;26;1077936128
2024-01-16 02:17:25;0;164;168176;268414;274856548;26;1077936128
2024-01-16 02:17:26;0;164;168176;268414;274856548;26;1077936128
2024-01-16 02:17:27;0.241546;164;168176;268414;274856548;26;1077936128
2024-01-16 02:17:28;0.244499;164;168252;268406;274848292;22;1077936128
2024-01-16 02:17:29;0;164;168252;268406;274848292;22;1077936128
2024-01-16 02:17:30;0;164;168252;268406;274848292;22;1077936128
2024-01-16 02:17:31;0;164;168252;268406;274848292;22;1077936128
2024-01-16 02:17:32;0;164;168220;268398;274840080;21;1077936128
2024-01-16 02:17:33;0;164;168220;268398;274840096;22;1077936128
2024-01-16 02:17:34;0;164;168220;268398;274840096;22;1077936128
2024-01-16 02:17:35;0;164;168220;268398;274840096;22;1077936128
2024-01-16 02:17:36;0;164;168220;268398;274840096;22;1077936128
2024-01-16 02:17:37;0.242718;164;168232;268398;274840092;22;1077936128
2024-01-16 02:17:38;0.490196;165;168976;268398;274840096;22;1077936128
2024-01-16 02:17:39;0;165;168976;268398;274840096;22;1077936128
2024-01-16 02:17:40;0;165;168976;268398;274840096;22;1077936128
2024-01-16 02:17:41;0;165;168976;268398;274840096;22;1077936128
2024-01-16 02:17:42;0.243309;165;168968;268398;274840080;21;1077936128
2024-01-16 02:17:43;0;165;168968;268398;274840096;22;1077936128
2024-01-16 02:17:44;0;165;168968;268398;274840096;22;1077936128
2024-01-16 02:17:45;0;165;168968;268398;274840096;22;1077936128
2024-01-16 02:17:46;0;165;168968;268398;274840096;22;1077936128
2024-01-16 02:17:48;0;165;168968;268398;274840096;22;1077936128
2024-01-16 02:17:49;0;165;168968;268398;274840096;22;1077936128
2024-01-16 02:17:50;0;165;168968;268398;274840096;22;1077936128
2024-01-16 02:17:51;0;165;168968;268398;274840080;21;1077936128
2024-01-16 02:17:52;0.2457;165;168968;268398;274840096;22;1077936128
2024-01-16 02:17:53;0;165;168968;268398;274840096;22;1077936128
2024-01-16 02:17:54;0;165;168968;268398;274840096;22;1077936128
2024-01-16 02:17:55;0;165;168968;268398;274840096;22;1077936128
2024-01-16 02:17:56;0;165;168968;268398;274840080;21;1077936128
2024-01-16 02:17:57;0.242718;165;169036;268398;274840092;22;1077936128
2024-01-16 02:17:58;0.728155;165;169416;268398;274840084;22;1077936128
2024-01-16 02:17:59;0;165;169416;268398;274840084;22;1077936128
2024-01-16 02:18:00;0;165;169416;268398;274840084;22;1077936128
2024-01-16 02:18:01;0;165;169416;268398;274840084;22;1077936128
2024-01-16 02:18:02;0;165;169388;268398;274840068;21;1077936128
2024-01-16 02:18:03;0;165;169388;268398;274840068;21;1077936128
2024-01-16 02:18:04;0;165;169388;268398;274840068;21;1077936128
2024-01-16 02:18:05;0;165;169388;268398;274840068;21;1077936128
2024-01-16 02:18:06;0;165;169388;268398;274840068;21;1077936128
2024-01-16 02:18:07;0.238663;165;169392;268398;274840084;22;1077936128
2024-01-16 02:18:08;0.243902;165;169396;268398;274840088;22;1077936128
2024-01-16 02:18:09;0;165;169396;268398;274840088;22;1077936128
2024-01-16 02:18:10;0;165;169396;268398;274840088;22;1077936128
2024-01-16 02:18:11;0;165;169396;268398;274840088;22;1077936128
2024-01-16 02:18:12;0;165;169400;268398;274840072;21;1077936128
2024-01-16 02:18:13;0;165;169400;268398;274840072;21;1077936128
2024-01-16 02:18:14;0;165;169400;268398;274840072;21;1077936128
