Timestamp;CPU Usage (%);Mem Usage (MiB);Mem Usage (KiB);Virtual Mem (MiB);Virtual Mem (KiB);Threads;Page Faults
2024-01-16 00:56:26;0;27;27700;707;724740;9;4194304
2024-01-16 00:56:27;6.61765;134;137824;1060;1085868;10;4194304
2024-01-16 00:56:28;5.37897;190;195216;1113;1140140;10;4194304
2024-01-16 00:56:29;4.18719;243;249600;1165;1193140;10;4194304
2024-01-16 00:56:30;7.38916;198;203756;1120;1147068;10;4194304
2024-01-16 00:56:32;4.19753;219;224876;1142;1169852;10;4194304
2024-01-16 00:56:33;4.44444;275;281636;1196;1224892;10;4194304
2024-01-16 00:56:34;4.6683;328;336548;1250;1280072;10;4194304
2024-01-16 00:56:35;5.41872;378;387496;1299;1331024;10;4194304
2024-01-16 00:56:36;7.40741;208;213512;1129;1156688;10;4194304
2024-01-16 00:56:37;5.17241;237;243604;1159;1186896;10;4194304
2024-01-16 00:56:38;5.15971;289;296400;1212;1241168;10;4194304
2024-01-16 00:56:39;5.63725;335;343128;1257;1288016;10;4194304
2024-01-16 00:56:40;5.66502;386;395928;1307;1339216;10;4194304
2024-01-16 00:56:41;8.04878;200;205628;1121;1148752;10;4194304
2024-01-16 00:56:42;5.39216;242;248396;1164;1192272;10;4194304
2024-01-16 00:56:43;5.37897;290;296972;1211;1240144;10;4194304
2024-01-16 00:56:44;4.65686;341;349508;1262;1292624;10;4194304
2024-01-16 00:56:45;9.24574;203;208820;1124;1151824;10;4194304
2024-01-16 00:56:46;5.37897;206;211196;1128;1155920;10;4194304
2024-01-16 00:56:47;6.41975;263;269800;1186;1214800;10;4194304
2024-01-16 00:56:48;5.95533;312;320224;1233;1263440;10;4194304
2024-01-16 00:56:49;5.67901;366;374868;1287;1318736;10;4194304
2024-01-16 00:56:50;8.64198;202;207396;1123;1150544;10;4194304
2024-01-16 00:56:51;6.94789;236;241716;1157;1184848;10;4194304
2024-01-16 00:56:52;6.15764;280;287124;1203;1231952;10;4194304
2024-01-16 00:56:53;6.68317;333;341772;1254;1284944;10;4194304
2024-01-16 00:56:54;9.67742;201;206484;1122;1149520;10;4194304
2024-01-16 00:56:55;5.66502;206;211764;1127;1154896;10;4194304
2024-01-16 00:56:56;6.91358;262;268524;1183;1211728;10;4194304
2024-01-16 00:56:57;6.61765;307;314724;1229;1258576;10;4194304
2024-01-16 00:56:58;6.38821;358;367256;1281;1312336;10;4194304
2024-01-16 00:56:59;9.09091;202;207136;1123;1150288;10;4194304
2024-01-16 00:57:00;7.12531;228;234064;1150;1177936;10;4194304
2024-01-16 00:57:01;6.91358;281;288184;1202;1231440;10;4194304
2024-01-16 00:57:02;6.34146;329;337288;1250;1280592;10;4194304
2024-01-16 00:57:03;9.33661;203;208680;1124;1151568;10;4194304
2024-01-16 00:57:04;6.37255;203;208680;1124;1151568;10;4194304
2024-01-16 00:57:05;6.93069;250;256992;1172;1200208;10;4194304
2024-01-16 00:57:06;6.65025;299;306888;1222;1251408;10;4194304
2024-01-16 00:57:07;6.68317;352;360744;1274;1305424;10;4194304
2024-01-16 00:57:08;10.0985;201;206472;1122;1149520;10;4194304
2024-01-16 00:57:09;5.89681;232;237624;1154;1182288;10;4194304
2024-01-16 00:57:10;7.17822;284;290952;1205;1234000;10;4194304
2024-01-16 00:57:11;7.65432;337;345864;1258;1288784;10;4194304
2024-01-16 00:57:12;9.65347;198;203272;1119;1146448;10;4194304
2024-01-16 00:57:13;7.12531;216;221752;1137;1164880;10;4194304
2024-01-16 00:57:14;6.61765;264;270856;1185;1214032;10;4194304
2024-01-16 00:57:15;7.17822;313;320752;1234;1263952;10;4194304
2024-01-16 00:57:16;6.86275;360;368800;1281;1311824;10;4194304
2024-01-16 00:57:17;9.62963;201;205904;1122;1149008;10;4194304
2024-01-16 00:57:18;6.32603;234;239960;1155;1183056;10;4194304
2024-01-16 00:57:19;7.05596;281;288272;1202;1231440;10;4194304
2024-01-16 00:57:20;7.45192;336;344240;1257;1287248;10;4194304
2024-01-16 00:57:21;10.0962;199;204608;1120;1147728;10;4194304
2024-01-16 00:57:23;6.66667;205;210152;1126;1153104;10;4194304
2024-01-16 00:57:24;6.71463;251;257408;1172;1200464;10;4194304
2024-01-16 00:57:25;7.50605;303;310468;1224;1253712;10;4194304
2024-01-16 00:57:26;7.86241;356;364588;1277;1307728;10;4194304
2024-01-16 00:57:27;10.2871;200;205064;1121;1148240;10;4194304
2024-01-16 00:57:28;7.32861;227;232520;1148;1175632;10;4194304
2024-01-16 00:57:29;7.22892;276;282944;1197;1226064;10;4194304
2024-01-16 00:57:30;6.58537;327;334952;1249;1279056;10;4194304
2024-01-16 00:57:31;10.5911;203;208344;1124;1151312;10;4194304
2024-01-16 00:57:32;7.09046;203;208344;1124;1151312;10;4194304
2024-01-16 00:57:33;7.61671;251;257712;1172;1200976;10;4194304
2024-01-16 00:57:34;6.86275;305;312360;1226;1255760;10;4194304
2024-01-16 00:57:35;7.43405;353;361992;1274;1305168;10;4194304
2024-01-16 00:57:36;10.5134;198;203688;1120;1146960;10;4194304
2024-01-16 00:57:37;7.28155;228;234312;1149;1177168;10;4194304
2024-01-16 00:57:38;8.61244;280;286844;1201;1230160;10;4194304
2024-01-16 00:57:39;7.38095;327;335684;1248;1278800;10;4194304
2024-01-16 00:57:40;9.83213;201;206080;1122;1149008;10;4194304
2024-01-16 00:57:41;7.54258;206;211624;1127;1154640;10;4194304
2024-01-16 00:57:42;7.39857;256;262312;1177;1205328;10;4194304
2024-01-16 00:57:43;7.61905;307;315376;1228;1258320;10;4194304
2024-01-16 00:57:44;6.3981;355;364216;1276;1307216;10;4194304
2024-01-16 00:57:45;10.2381;199;204392;1120;1147216;10;4194304
2024-01-16 00:57:46;7.74818;236;242672;1157;1185616;10;4194304
2024-01-16 00:57:47;8.29268;289;296264;1210;1239376;10;4194304
2024-01-16 00:57:48;7.14286;342;350648;1263;1293648;10;4194304
2024-01-16 00:57:49;10.3194;200;205096;1121;1148240;10;4194304
2024-01-16 00:57:50;7.67327;224;229384;1144;1172304;10;4194304
2024-01-16 00:57:51;7.86241;275;281652;1196;1224784;10;4194304
2024-01-16 00:57:53;7.37101;326;333920;1248;1278800;10;4194304
2024-01-16 00:57:54;11.3022;201;206764;1122;1149776;10;4194304
2024-01-16 00:57:55;6.86275;204;209404;1125;1152592;10;4194304
2024-01-16 00:57:56;8.39506;256;262204;1178;1206352;10;1077936128
2024-01-16 00:57:57;7.92079;302;309724;1224;1254224;10;4194304
2024-01-16 00:57:58;7.59804;356;365156;1278;1309264;10;4194304
