Timestamp;CPU Usage (%);Mem Usage (MiB);Mem Usage (KiB);Virtual Mem (MiB);Virtual Mem (KiB);Threads;Page Faults
2024-01-14 20:56:25;81566.7;2255;2310076;2277;2332628;1;4194304
2024-01-14 20:56:26;24.7549;2227;2281404;2249;2303956;1;4194304
2024-01-14 20:56:27;24.8768;2199;2252732;2221;2275284;1;4194304
2024-01-14 20:56:28;24.6341;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:56:29;24.9383;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:56:30;24.8768;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:56:31;24.8768;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:56:32;25.0614;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:56:33;25;2194;2247308;2216;2270164;1;4194304
2024-01-14 20:56:34;24.8157;2248;2302840;2270;2325460;1;4194304
2024-01-14 20:56:35;24.8768;2298;2353528;2320;2376660;1;4194304
2024-01-14 20:56:36;25.0614;2298;2353528;2320;2376660;1;4194304
2024-01-14 20:56:37;24.8768;2292;2347964;2314;2370516;1;4194304
2024-01-14 20:56:38;24.7549;2264;2319292;2286;2341844;1;4194304
2024-01-14 20:56:39;25.0614;2236;2290620;2258;2313172;1;4194304
2024-01-14 20:56:40;24.8768;2208;2261948;2230;2284500;1;4194304
2024-01-14 20:56:41;25.1232;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:56:42;24.8768;2193;2246648;2215;2269140;1;4194304
2024-01-14 20:56:43;24.8157;2193;2246648;2215;2269140;1;4194304
2024-01-14 20:56:45;25.0614;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:56:46;24.8768;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:56:47;24.9389;2203;2256524;2225;2279380;1;4194304
2024-01-14 20:56:48;24.9383;2231;2284624;2252;2307028;1;4194304
2024-01-14 20:56:49;25.1232;2300;2355904;2322;2378708;1;4194304
2024-01-14 20:56:50;24.8768;2281;2336700;2303;2359252;1;4194304
2024-01-14 20:56:51;24.8768;2253;2308028;2275;2330580;1;4194304
2024-01-14 20:56:52;24.878;2225;2279356;2247;2301908;1;4194304
2024-01-14 20:56:53;25.1232;2197;2250684;2219;2273236;1;4194304
2024-01-14 20:56:54;24.8157;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:56:55;24.8768;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:56:56;25.1852;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:56:57;25.0614;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:56:58;24.8157;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:56:59;25.3071;2192;2245260;2214;2268116;1;4194304
2024-01-14 20:57:00;24.57;2253;2307592;2275;2330580;1;4194304
2024-01-14 20:57:01;25.1852;2298;2353792;2320;2376660;1;4194304
2024-01-14 20:57:02;24.8157;2298;2353792;2320;2376660;1;4194304
2024-01-14 20:57:03;25.1232;2291;2346940;2313;2369492;1;4194304
2024-01-14 20:57:04;25.0614;2264;2319292;2286;2341844;1;4194304
2024-01-14 20:57:05;25;2236;2290620;2258;2313172;1;4194304
2024-01-14 20:57:06;24.8157;2209;2262972;2231;2285524;1;4194304
2024-01-14 20:57:07;25.2475;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:57:08;24.8768;2193;2246648;2215;2269140;1;4194304
2024-01-14 20:57:09;25.0614;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:57:10;24.8768;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:57:11;24.8157;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:57:12;25.3071;2193;2246284;2215;2269140;1;4194304
2024-01-14 20:57:13;24.8157;2250;2304160;2272;2327508;1;4194304
2024-01-14 20:57:14;24.8768;2300;2355904;2322;2378708;1;4194304
2024-01-14 20:57:15;25.1232;2276;2331580;2298;2354132;1;4194304
2024-01-14 20:57:16;24.8768;2249;2303932;2270;2325460;1;4194304
2024-01-14 20:57:17;25.2451;2221;2275260;2243;2297812;1;4194304
2024-01-14 20:57:18;25.1232;2193;2246588;2215;2269140;1;4194304
2024-01-14 20:57:19;24.57;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:57:20;25.1232;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:57:21;25.0614;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:57:22;25.0614;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:57:23;25.1232;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:57:24;24.9383;2191;2244236;2213;2267092;1;4194304
2024-01-14 20:57:25;24.8157;2264;2318680;2286;2341844;1;4194304
2024-01-14 20:57:26;25.2451;2298;2353792;2320;2376660;1;4194304
2024-01-14 20:57:27;25.0614;2299;2355112;2321;2377684;1;4194304
2024-01-14 20:57:28;24.8768;2287;2342844;2309;2365396;1;4194304
2024-01-14 20:57:29;24.8768;2260;2315196;2281;2336724;1;4194304
2024-01-14 20:57:30;25.0614;2232;2286524;2254;2309076;1;4194304
2024-01-14 20:57:31;25.1232;2204;2257852;2226;2280404;1;4194304
2024-01-14 20:57:32;24.7549;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:57:33;25.3695;2193;2246648;2215;2269140;1;4194304
2024-01-14 20:57:34;25;2201;2254304;2223;2277332;1;4194304
2024-01-14 20:57:35;24.8768;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:57:36;24.8768;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:57:37;25.1232;2199;2252428;2221;2275284;1;4194304
2024-01-14 20:57:38;24.8157;2231;2285416;2253;2308052;1;4194304
2024-01-14 20:57:39;25.1852;2300;2355904;2322;2378708;1;4194304
2024-01-14 20:57:40;25;2282;2337724;2304;2360276;1;4194304
2024-01-14 20:57:41;24.7549;2255;2310076;2277;2332628;1;4194304
2024-01-14 20:57:42;25.4321;2227;2281404;2249;2303956;1;4194304
2024-01-14 20:57:43;24.8157;2200;2253756;2221;2275284;1;4194304
2024-01-14 20:57:44;25.1232;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:57:45;24.8768;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:57:47;25.1232;2214;2267768;2236;2290644;1;4194304
2024-01-14 20:57:48;24.9389;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:57:49;24.8768;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:57:50;25.1232;2195;2248332;2217;2271188;1;4194304
2024-01-14 20:57:51;24.8157;2245;2299144;2267;2322388;1;4194304
2024-01-14 20:57:52;25.1232;2298;2353792;2320;2376660;1;4194304
2024-01-14 20:57:53;25.0614;2298;2353792;2320;2376660;1;4194304
2024-01-14 20:57:54;24.8157;2294;2350012;2316;2372564;1;4194304
2024-01-14 20:57:55;25.3071;2266;2321340;2288;2343892;1;4194304
2024-01-14 20:57:56;24.8768;2238;2292668;2260;2315220;1;4194304
2024-01-14 20:57:57;25.1232;2211;2265020;2233;2287572;1;4194304
2024-01-14 20:57:58;24.8768;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:57:59;24.9389;2193;2246648;2215;2269140;1;4194304
2024-01-14 20:58:00;25.1232;2193;2246648;2215;2269140;1;4194304
2024-01-14 20:58:01;25.1232;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:58:02;24.7549;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:58:03;25;2206;2259596;2228;2282452;1;4194304
2024-01-14 20:58:04;24.8768;2209;2262448;2231;2285524;1;4194304
2024-01-14 20:58:05;25.1232;2294;2349304;2315;2371540;1;4194304
2024-01-14 20:58:06;24.8157;2289;2344892;2311;2367444;1;4194304
2024-01-14 20:58:07;25.2451;2261;2316220;2283;2338772;1;4194304
2024-01-14 20:58:08;24.8768;2234;2288572;2256;2311124;1;4194304
2024-01-14 20:58:09;24.8157;2206;2259900;2228;2282452;1;4194304
2024-01-14 20:58:10;25.1232;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:58:11;25.1852;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:58:12;24.9389;2194;2247176;2216;2270164;1;4194304
2024-01-14 20:58:13;24.9383;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:58:14;25;2216;2269616;2238;2292692;1;4194304
2024-01-14 20:58:15;24.8157;2202;2255500;2224;2278356;1;4194304
2024-01-14 20:58:16;25.1852;2224;2277760;2246;2300884;1;4194304
2024-01-14 20:58:17;24.8157;2298;2353792;2320;2376660;1;4194304
2024-01-14 20:58:18;25.1232;2298;2353792;2320;2376660;1;4194304
2024-01-14 20:58:19;25.1852;2300;2355904;2322;2378708;1;4194304
2024-01-14 20:58:20;24.878;2273;2328508;2295;2351060;1;4194304
2024-01-14 20:58:21;24.8768;2245;2299836;2267;2322388;1;4194304
2024-01-14 20:58:22;25.1232;2218;2272188;2240;2294740;1;4194304
2024-01-14 20:58:23;25.1232;2191;2244540;2213;2267092;1;4194304
2024-01-14 20:58:24;24.8768;2194;2246912;2215;2269140;1;4194304
