Timestamp;CPU Usage (%);Mem Usage (MiB);Mem Usage (KiB);Virtual Mem (MiB);Virtual Mem (KiB);Threads;Page Faults
2024-01-14 21:19:47;0;9;9544;16;17388;1;4194304
2024-01-14 21:19:48;1.2285;19;19768;28;29296;1;4194304
2024-01-14 21:19:49;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:19:50;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:19:51;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:19:52;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:19:54;0.246914;19;19768;28;29296;1;4194304
2024-01-14 21:19:55;0;19;19768;28;29296;1;4194304
2024-01-14 21:19:56;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:19:57;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:19:58;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:19:59;0.245098;19;19768;28;29296;1;4194304
2024-01-14 21:20:00;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:01;0;19;19768;28;29296;1;4194304
2024-01-14 21:20:02;0.246914;19;19768;28;29296;1;4194304
2024-01-14 21:20:03;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:04;0;19;19768;28;29296;1;4194304
2024-01-14 21:20:05;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:06;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:07;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:08;0;19;19768;28;29296;1;4194304
2024-01-14 21:20:09;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:10;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:11;0.246914;19;19768;28;29296;1;4194304
2024-01-14 21:20:12;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:13;0;19;19768;28;29296;1;4194304
2024-01-14 21:20:14;0.245098;19;19768;28;29296;1;4194304
2024-01-14 21:20:15;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:16;0;19;19768;28;29296;1;4194304
2024-01-14 21:20:17;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:18;0.246914;19;19768;28;29296;1;4194304
2024-01-14 21:20:19;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:20;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:21;0;19;19768;28;29296;1;4194304
2024-01-14 21:20:22;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:23;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:24;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:25;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:26;0;19;19768;28;29296;1;4194304
2024-01-14 21:20:27;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:28;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:29;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:30;0.246914;19;19768;28;29296;1;4194304
2024-01-14 21:20:31;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:32;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:33;0;19;19768;28;29296;1;4194304
2024-01-14 21:20:34;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:35;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:36;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:37;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:38;0;19;19768;28;29296;1;4194304
2024-01-14 21:20:39;0.246914;19;19768;28;29296;1;4194304
2024-01-14 21:20:40;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:41;0.2457;19;19768;28;29296;1;4194304
2024-01-14 21:20:42;0.245098;19;19768;28;29296;1;4194304
2024-01-14 21:20:43;0;19;19768;28;29296;1;4194304
2024-01-14 21:20:44;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:45;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:46;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:47;0.246305;19;19768;28;29296;1;4194304
2024-01-14 21:20:48;0;19;19768;28;29296;1;4194304
2024-01-14 21:20:49;0.2457;19;19768;28;29296;1;4194304
