Timestamp;CPU Usage (%);Mem Usage (MiB);Mem Usage (KiB);Virtual Mem (MiB);Virtual Mem (KiB);Threads;Page Faults
2024-01-14 21:29:30;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:31;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:32;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:33;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:34;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:35;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:36;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:37;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:38;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:39;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:40;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:41;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:42;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:43;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:44;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:45;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:46;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:47;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:48;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:49;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:50;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:51;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:52;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:53;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:54;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:55;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:56;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:57;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:58;0;9;9280;88;91036;2;1077936128
2024-01-14 21:29:59;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:00;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:01;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:02;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:03;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:04;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:05;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:06;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:07;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:08;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:09;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:10;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:11;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:12;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:13;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:14;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:15;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:16;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:17;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:18;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:19;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:20;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:21;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:22;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:23;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:24;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:25;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:27;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:28;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:29;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:30;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:31;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:32;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:33;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:34;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:35;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:36;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:37;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:38;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:39;0;9;9280;88;91036;2;1077936128
2024-01-14 21:30:40;0;9;9280;88;91036;2;1077936128
