Timestamp;CPU Usage (%);Mem Usage (MiB);Mem Usage (KiB);Virtual Mem (MiB);Virtual Mem (KiB);Threads;Page Faults
2024-01-18 02:08:13;0;10;10584;17;17852;1;4194304
2024-01-18 02:08:14;2.23325;7;7664;273;280288;5;1077936128
2024-01-18 02:08:15;1.45985;7;7664;273;280288;5;1077936128
2024-01-18 02:08:16;1.9656;7;7664;273;280288;5;1077936128
2024-01-18 02:08:17;3.125;7;7664;273;280288;5;1077936128
2024-01-18 02:08:18;5.3012;7;7664;273;280288;5;1077936128
2024-01-18 02:08:19;2.85036;7;7664;273;280288;5;1077936128
2024-01-18 02:08:20;4.01891;7;7664;273;280288;5;1077936128
2024-01-18 02:08:21;4.27553;7;7664;273;280288;5;1077936128
2024-01-18 02:08:22;2.86396;7;7664;273;280288;5;1077936128
2024-01-18 02:08:24;4.40098;7;7664;273;280288;5;1077936128
2024-01-18 02:08:25;3.90244;7;7664;273;280288;5;1077936128
2024-01-18 02:08:26;4.038;7;7664;273;280288;5;1077936128
2024-01-18 02:08:27;4.21836;7;7664;273;280288;5;1077936128
2024-01-18 02:08:28;3.87409;7;7664;273;280288;5;1077936128
2024-01-18 02:08:29;2.92683;7;7664;273;280288;5;1077936128
2024-01-18 02:08:30;2.89157;7;7664;273;280288;5;1077936128
2024-01-18 02:08:31;3.40633;7;7664;273;280288;5;1077936128
2024-01-18 02:08:32;3.45679;7;7664;273;280288;5;1077936128
2024-01-18 02:08:33;2.92683;7;7664;273;280288;5;1077936128
2024-01-18 02:08:34;3.35731;7;7664;273;280288;5;1077936128
2024-01-18 02:08:35;3.38983;7;7664;273;280288;5;1077936128
2024-01-18 02:08:36;4.16667;7;7664;273;280288;5;1077936128
2024-01-18 02:08:37;2.6764;7;7664;273;280288;5;1077936128
2024-01-18 02:08:38;2.83688;7;7664;273;280288;5;1077936128
2024-01-18 02:08:39;4.39024;7;7664;273;280288;5;1077936128
2024-01-18 02:08:40;2.68293;7;7664;273;280288;5;1077936128
2024-01-18 02:08:41;4.16667;7;7664;273;280288;5;1077936128
2024-01-18 02:08:42;4.40098;7;7664;273;280288;5;1077936128
2024-01-18 02:08:43;4.09639;7;7664;273;280288;5;1077936128
2024-01-18 02:08:44;4.01891;7;7664;273;280288;5;1077936128
2024-01-18 02:08:45;4.31655;7;7664;273;280288;5;1077936128
2024-01-18 02:08:46;1.93705;7;7664;273;280288;5;1077936128
2024-01-18 02:08:47;3.11005;7;7664;273;280288;5;1077936128
2024-01-18 02:08:48;3.10263;7;7664;273;280288;5;1077936128
2024-01-18 02:08:49;2.39808;7;7664;273;280288;5;1077936128
2024-01-18 02:08:50;2.34742;7;7664;273;280288;5;1077936128
2024-01-18 02:08:52;3.13253;7;7664;273;280288;5;1077936128
2024-01-18 02:08:53;2.92683;7;7664;273;280288;5;1077936128
2024-01-18 02:08:54;4.15648;7;7664;273;280288;5;1077936128
2024-01-18 02:08:55;4.62287;7;7664;273;280288;5;1077936128
2024-01-18 02:08:56;2.47525;7;7664;273;280288;5;1077936128
2024-01-18 02:08:57;2.17918;7;7664;273;280288;5;1077936128
2024-01-18 02:08:58;2.91262;7;7664;273;280288;5;1077936128
2024-01-18 02:08:59;3.65854;7;7664;273;280288;5;1077936128
2024-01-18 02:09:00;4.41176;7;7664;273;280288;5;1077936128
2024-01-18 02:09:01;2.92683;7;7664;273;280288;5;1077936128
2024-01-18 02:09:02;3.21782;7;7664;273;280288;5;1077936128
2024-01-18 02:09:03;3.86473;7;7664;273;280288;5;1077936128
2024-01-18 02:09:04;3.38983;7;7664;273;280288;5;1077936128
2024-01-18 02:09:05;2.68949;7;7664;273;280288;5;1077936128
2024-01-18 02:09:06;2.68293;7;7664;273;280288;5;1077936128
2024-01-18 02:09:07;3.60577;7;7664;273;280288;5;1077936128
2024-01-18 02:09:08;2.91262;7;7664;273;280288;5;1077936128
2024-01-18 02:09:09;4.30622;7;7664;273;280288;5;1077936128
2024-01-18 02:09:10;2.88462;7;7664;273;280288;5;1077936128
2024-01-18 02:09:11;4.39024;7;7664;273;280288;5;1077936128
2024-01-18 02:09:12;4.09639;7;7664;273;280288;5;1077936128
2024-01-18 02:09:13;2.92683;7;7664;273;280288;5;1077936128
2024-01-18 02:09:14;2.63158;7;7664;273;280288;5;1077936128
2024-01-18 02:09:15;4.35835;7;7664;273;280288;5;1077936128
2024-01-18 02:09:16;3.40633;7;7664;273;280288;5;1077936128
2024-01-18 02:09:17;4.06699;7;7664;273;280288;5;1077936128
2024-01-18 02:09:18;3.64964;7;7664;273;280288;5;1077936128
2024-01-18 02:09:19;3.38164;7;7664;273;280288;5;1077936128
2024-01-18 02:09:20;3.39806;7;7664;273;280288;5;1077936128
2024-01-18 02:09:21;2.61283;7;7664;273;280288;5;1077936128
2024-01-18 02:09:23;2.34742;7;7664;273;280288;5;1077936128
2024-01-18 02:09:24;4.2654;7;7664;273;280288;5;1077936128
2024-01-18 02:09:25;2.8777;7;7664;273;280288;5;1077936128
2024-01-18 02:09:26;2.38095;7;7664;273;280288;5;1077936128
2024-01-18 02:09:27;4.09639;7;7664;273;280288;5;1077936128
2024-01-18 02:09:28;2.83688;7;7664;273;280288;5;1077936128
2024-01-18 02:09:29;2.44499;7;7664;273;280288;5;1077936128
2024-01-18 02:09:30;2.68949;7;7664;273;280288;5;1077936128
2024-01-18 02:09:31;2.6253;7;7664;273;280288;5;1077936128
2024-01-18 02:09:32;2.42718;7;7664;273;280288;5;1077936128
2024-01-18 02:09:33;2.45098;7;7664;273;280288;5;1077936128
2024-01-18 02:09:34;2.9484;7;7664;273;280288;5;1077936128
2024-01-18 02:09:35;2.6699;7;7664;273;280288;5;1077936128
